ProcessId,EvidenceName,StepName,SharedTopicsCount,SharedKeywordsCount,TotalSharedEntities
774591,"""Συμπληρωμένο έγγραφο μεταφοράς για διασυνοριακές διακινήσεις/μεταφορές αποβλήτων""","""Έγγραφη συγκατάθεση στη διασυνοριακή μεταφορά αποβλήτων""",1,2,3
782621,"""Συμπληρωμένο έγγραφο μεταφοράς για διασυνοριακές διακινήσεις/μεταφορές αποβλήτων""","""Έγγραφη συγκατάθεση στη διασυνοριακή μεταφορά αποβλήτων""",1,2,3
400494,"""Απόφαση παράτασης αναπηρίας κύριου φορέα.""","""Έκδοση Απόφασης Παράτασης Αναπηρίας""",1,2,3
438588,"""Αποδεικτικό υποβολής της γνωστοποίησης.""","""Έκδοση αποδεικτικού υποβολής""",1,2,3
316411,"""Πιστοποιητικό έγκρισης οχήματος μεταφοράς επικίνδυνων εμπορευμάτων ADR""","""Εκτύπωση άδειας κυκλοφορίας οχήματος μεταφοράς επικίνδυνων εμπορευμάτων ADR""",1,2,3
532936,"""Άδεια εμπορίας ασφάλτου κατηγορίας Δ, σε ισχύ.""","""Ανάκληση άδειας εμπορίας ασφάλτου κατηγορίας Δ""",1,2,3
880506,"""Βιβλιάριο της ατομικής επαγγελματικής άδειας αλιείας (η οποία χρήζει ανανέωσης).""","""Ανανέωση ατομικής επαγγελματικής άδειας αλιείας""",1,2,3
438588,"""Αποδεικτικό υποβολής της γνωστοποίησης.""","""Έκδοση αποδεικτικού υποβολής""",1,2,3
774591,"""Συμπληρωμένο έγγραφο κοινοποίησης για διασυνοριακές διακινήσεις/μεταφορές αποβλήτων""","""Χορήγηση κωδικών αριθμών εγγράφων διασυνοριακής μεταφοράς αποβλήτων""",1,2,3
774591,"""Συμπληρωμένο έγγραφο μεταφοράς για διασυνοριακές διακινήσεις/μεταφορές αποβλήτων""","""Χορήγηση κωδικών αριθμών εγγράφων διασυνοριακής μεταφοράς αποβλήτων""",1,2,3
235229,"""Γνωμάτευση Ανώτατης Υγειονομικής Επιτροπής Πυροσβεστικού Σώματος (Α.Υ.Ε.Π.Σ.)""","""Παραπομπή στο αρμόδιο Συμβουλίου Κρίσεων Πυροσβεστικού Σώματος, βάσει της γνωμάτευσης της Υγειονομικής Επιτροπής""",1,2,3
471194,"""Άδεια μεταφοράς με αγωγό, σε ισχύ.""","""Ανανέωση Άδειας Μεταφοράς με Αγωγό""",1,2,3
429477,"""Άδεια διάθεσης βιοκαυσίμων, σε ισχύ.""","""Παραλαβή της αίτησης για τροποποίηση, ως προς τις εγκαταστάσεις, άδειας διάθεσης βιοκαυσίμων""",1,2,3
478441,"""ΙΒΑΝ τραπεζικού λογαριασμού.""","""Εισαγωγή ΙΒΑΝ τραπεζικού λογαριασμού""",1,2,3
344972,"""Στοιχεία συζύγου υπηκόου Ε.Ε""","""Μη ταυτοποίηση στοιχείων συζύγου""",0,2,2
962425,"""Συμπληρωμένο έντυπο ANNEX VII""","""Διαπίστωση ορθής συμπλήρωσης του ANNEX VII""",0,2,2
779399,"""Απόφαση του Διευθυντή της Εθνικής Σχολής Δημόσιας Διοίκησης και Αυτοδιοίκησης (ΕΣΔΔΑ) «Ανακήρυξη αποφοίτων Εκπαιδευτικής Σειράς της ΕΣΔΔΑ» και δηλώσεων προτίμησης των αποφοίτων της ΕΣΔΔΑ""","""Παραλαβή της απόφασης του Διευθυντή της ΕΣΔΔΑ «Ανακήρυξη αποφοίτων Εκπαιδευτικής Σειράς της ΕΣΔΔΑ» και δηλώσεων προτίμησης των αποφοίτων της ΕΣΔΔΑ – ανάθεση σε αρμόδιο υπάλληλο""",0,2,2
414543,"""Απόφαση δικαστικής συμπαράστασης""","""έκδοση δικαστικής απόφασης""",0,2,2
299428,"""Δήλωση Πολιτογράφησης""","""Υποβολή δήλωσης πολιτογράφησης""",0,2,2
308335,"""Υπεύθυνη Δήλωση του μελετητή μηχανικού με την οποία δηλώνεται ότι ο ειδικός κανονισμός ασφαλείας συμμορφώνεται πλήρως με τα αναφερόμενα στον Κανονισμό Μεταλλευτικών και Λατομικών Εργασιών (ΚΜΛΕ), στις τυχόν ειδικές διατάξεις ασφάλειας και τα πλήρη επίσημα εγχειρίδια και προδιαγραφές του κατασκευαστή.""","""Έλεγχος πληρότητας της αίτησης και πληρότητας και ορθότητας του Ειδικού Κανονισμού Ασφάλειας, σύμφωνα με τον Κανονισμό Μεταλλευτικών και Λατομικών Εργασιών (ΚΜΛΕ), τις τυχόν ειδικές διατάξεις ασφάλειας, τα πλήρη επίσημα εγχειρίδια και προδιαγραφές του κατασκευαστή""",0,2,2
926404,"""Παραστατικά αμοιβών μελετητών και δικαιωμάτων Δημοσίου και Ταμείων.""","""Παραλαβή παραστατικών κατάθεσης παραβόλων, αμοιβών μελετητών και δικαιωμάτων Δημοσίου και Ταμείων""",0,2,2
543727,"""Γνωμάτευση Ανωτάτης (ή Αναθεωρητικής) Υγειονομικής Επιτροπής της Ελληνικής Αστυνομίας.""","""Διαβίβαση γνωματεύσεων Υγειονομικών Επιτροπών Ελληνικής Αστυνομίας.""",0,2,2
897244,"""Ληξιαρχική πράξη θανάτου από το Μητρώο Πολιτών.""","""Καταχώριση στοιχείων στο Μητρώο Πολιτών""",0,2,2
566602,"""Γνωμάτευση Ανωτάτης (ή Αναθεωρητικής) Υγειονομικής Επιτροπής της Ελληνικής Αστυνομίας.""","""Διαβίβαση γνωματεύσεων Υγειονομικών Επιτροπών Ελληνικής Αστυνομίας.""",0,2,2
320059,"""Απόφαση Απονομής Σύνταξης Λόγω Θανάτου του e-ΕΦΚΑ""","""Λήψη της \""Απόφασης Απονομής Σύνταξης Λόγω Θανάτου\"" του e-ΕΦΚΑ""",0,2,2
412862,"""Επικαιροποιημένα τεύχη οδηγιών υδατοδρομίου""","""Το Τμήμα Εναέριων Μεταφορών διαβιβάζει στην Αρχή Πολιτικής Αεροπορίας (Α.Π.Α.) τα επικαιροποιημένα τεύχη οδηγιών υδατοδρομίου""",0,2,2
344972,"""Στοιχεία συζύγου υπηκόου Ε.Ε""","""Ταυτοποίηση στοιχείων συζύγου""",0,2,2
577380,"""Βεβαίωση εγγραφής στο Μητρώο Ανθρώπινου Δυναμικού Ελληνικού Δημοσίου.""","""Εγγραφή του διοριζόμενου στο Μητρώο Ανθρώπινου Δυναμικού Ελληνικού Δημοσίου.""",0,2,2
615924,"""Πολύ καλή γνώση της αγγλικής γλώσσας και της αγγλικής ναυτικής ορολογίας.""","""Εξέταση υποψηφίων στη γνώση αγγλικής γλώσσας και αγγλικής ναυτικής ορολογίας""",0,2,2
155029,"""Αίτηση συνοδευόμενη με τα προβλεπόμενα δικαιολογητικά του δευτέρου σταδίου.""","""Ηλεκτρονική υποβολή αίτησης δευτέρου σταδίου με τα προβλεπόμενα δικαιολογητικά""",0,2,2
845694,"""Δήλωση εμπιστευτικότητας και προστασίας προσωπικών δεδομένων""","""Συμπλήρωση των εντύπων/δικαιολογητικών \""Αίτηση ερευνητή\"" & \""Δήλωση εμπιστευτικότητας και προστασίας προσωπικών δεδομένων\""""",0,2,2
735012,"""Καταδικαστική απόφαση""","""Κοινοποίηση καταδικαστικής απόφασης""",0,2,2
344972,"""Στοιχεία συζύγου υπηκόου τρίτης χώρας""","""Ταυτοποίηση στοιχείων συζύγου""",0,2,2
344972,"""Στοιχεία συζύγου υπηκόου τρίτης χώρας""","""Μη ταυτοποίηση στοιχείων συζύγου""",0,2,2
673297,"""Αίτηση του/της Πρόεδρου του ΕΚΔΔΑ για την έκδοση σχετικής Υπουργικής Απόφασης για την απόσπαση σε θέση Ειδικού Επιστημονικού Προσωπικού με απόσπαση απο συγκεκριμένο δημόσιο υπάλληλο βάσει της παρ.2 του αρ.12 του Π.Δ. 57/2007 (ΦΕΚ 59 Α)""","""Σύνταξη της Υπουργικής Απόφασης για την απόσπαση σε θέση Ειδικού Επιστημονικού Προσωπικού του ΕΚΔΔΑ""",0,2,2
344972,"""Στοιχεία Συζύγου""","""Μη ταυτοποίηση στοιχείων συζύγου""",0,2,2
308335,"""Ειδικός Κανονισμός Ασφαλείας.""","""Έκδοση απόφασης έγκρισης του Ειδικού κανονισμού ασφάλειας""",0,2,2
341629,"""Βεβαίωση αιμοδοσίας""","""Υποβολή Βεβαίωσης Αιμοδοσίας""",0,2,2
767494,"""Πρόταση τιμητικής πολιτογράφησης αλλοδαπού.""","""Πρωτοκόλληση πρότασης Τιμητικής Πολιτογράφησης""",0,2,2
846510,"""Ληξιαρχική πράξη θανάτου από το Μητρώο Πολιτών""","""Καταχώρηση στοιχείων στο Μητρώο Πολιτών""",0,2,2
323519,"""Γνωμάτευση Ανωτάτης (ή Αναθεωρητικής) Υγειονομικής Επιτροπής της Ελληνικής Αστυνομίας.""","""Διαβίβαση γνωματεύσεων Υγειονομικών Επιτροπών Ελληνικής Αστυνομίας.""",0,2,2
515153,"""Δικαιολογητικό λύσης δικτύωσης""","""Απόφαση για την λύση της δικτύωσης""",0,2,2
178565,"""Γνωμάτευση Ανώτατης Υγειονομικής Επιτροπής Πυροσβεστικού Σώματος (Α.Υ.Ε.Π.Σ.)""","""Παραλαβή γνωμάτευσης Ανώτατης Υγειονομικής Επιτροπής του Πυροσβεστικού Σώματος (Α.Υ.Ε.Π.Σ.) στην αρμόδια Διεύθυνση του Αρχηγείου Πυροσβεστικού Σώματος""",0,2,2
978127,"""Βεβαίωση εγγραφής στο Μητρώο Ανθρώπινου Δυναμικού του Ελληνικού Δημοσίου.""","""Εγγραφή στο Μητρώο Ανθρώπινου Δυναμικού του Ελληνικού Δημοσίου""",0,2,2
344972,"""Στοιχεία Συζύγου""","""Ταυτοποίηση στοιχείων συζύγου""",0,2,2
874776,"""Γνωμάτευση Ανωτάτης (ή Αναθεωρητικής) Υγειονομικής Επιτροπής της Ελληνικής Αστυνομίας.""","""Διαβίβαση γνωματεύσεων Υγειονομικών Επιτροπών Ελληνικής Αστυνομίας.""",0,2,2
673862,"""Αίτηση αμοιβαίας μετακίνησης""","""Παραλαβή αίτησης αμοιβαίας μετακίνησης""",0,2,2
511484,"""ΥΠΥ17 Ιατρικός έλεγχος""","""Καταγραφή και Ιατρικός Έλεγχος""",0,2,2
391145,"""Ληξιαρχική πράξη θανάτου από το Μητρώο Πολιτών.""","""Καταχώριση στοιχείων στο Μητρώο Πολιτών""",0,2,2
905202,"""Γνωμάτευση Ανωτάτης (ή Αναθεωρητικής) Υγειονομικής Επιτροπής της Ελληνικής Αστυνομίας.""","""Διαβίβαση γνωματεύσεων Υγειονομικών Επιτροπών Ελληνικής Αστυνομίας.""",0,2,2
288042,"""Αίτηση για την παροχή της εγγύησης του Ελληνικού Δημοσίου.""","""Έκδοση απόφασης για την παροχή της εγγύησης του Ελληνικού Δημοσίου.""",1,1,2
774591,"""Περιγραφή της διαδικασίας παραγωγής των αποβλήτων""","""Παραλαβή αίτησης για χορήγηση κωδικών αριθμών εγγράφων διασυνοριακής μεταφοράς αποβλήτων""",1,1,2
715319,"""Φωτοαντίγραφο άδειας κυκλοφορίας του υπό έγκριση οχήματος""","""Έκδοση βεβαίωσης έγκρισης οχήματος""",1,1,2
613161,"""Απόφαση άδειας διάθεσης στην αγορά φυτοπροστατευτικού προϊόντος από συγκεκριμένη εταιρία, κάτοχο της εν λόγω άδειας.""","""Ανάθεση σε αρμόδιο υπάλληλο του ελέγχου των φυτοπροστατευτικών προϊόντων τα οποία περιέχουν την δραστική ουσία""",1,1,2
426207,"""Πιστοποιητικό Ταξινόμησης Οχημάτων.""","""Καταχώρηση στο Μητρώο Αδειών Κυκλοφορίας Οχημάτων""",1,1,2
348474,"""Γνωμάτευση/Απόφαση Πιστοποίησης Αναπηρίας.""","""Έλεγχος των νόμιμων προϋποθέσεων (διοικητικών και αναπηρίας)""",1,1,2
897244,"""Ληξιαρχική πράξη θανάτου επιχωρίων Αρχών (χώρας στην οποία συνέβη το γεγονός).""","""Διαπίστωση ότι δεν έχει δηλωθεί ο θάνατος στο Μητρώο Πολιτών""",1,1,2
454755,"""Εισήγηση του οικείου συμβουλίου κοινότητας ή του προέδρου της κοινότητας""","""Απόφαση δημοτικού συμβουλίου""",1,1,2
662612,"""Φωτοαντίγραφο άδειας κυκλοφορίας του υπό έγκριση οχήματος""","""Έκδοση πιστοποιητικού έγκρισης οχήματος""",1,1,2
671862,"""Βεβαίωση από την αρμόδια Υπηρεσία Αλιείας της Περιφερειακής Ενότητας, περί οικονομικής ενίσχυσης του αλιευτικού σκάφους που αναφέρεται στην Αίτηση.""","""Υποβολή Αίτησης για την Σύμφωνη Γνώμη από την Διεύθυνση Αλιείας και Διαχείρισης Αλιευτικών Πόρων του Υπουργείου Αγροτικής Ανάπτυξης και Τροφίμων.""",1,1,2
168860,"""Σχέδιο οχήματος""","""Ιεραρχική υπογραφή σχεδίου πιστοποιητικού εθνικής επιμέρους έγκρισης οχήματος""",1,1,2
897244,"""Ληξιαρχική πράξη θανάτου επιχωρίων Αρχών (χώρας στην οποία συνέβη το γεγονός).""","""Διαπίστωση ότι έχει δηλωθεί ο θάνατος στο Μητρώο Πολιτών""",1,1,2
431641,"""Έγγραφο από το οποίο να προκύπτει ο τίτλος ιδιοκτησίας του οχήματος και ο αριθμός πλαισίου του.""","""Έλεγχος οχήματος""",1,1,2
161711,"""Μελέτη γεωλογικής καταλληλότητας""","""Έγκριση Μελέτης Γεωλογικής Καταλληλότητας από ΔΠΟΛΣ/ΥΠΕΝ""",1,1,2
567533,"""Τεχνικό υπόμνημα οχήματος""","""Έλεγχος του οχήματος απο Διεύθυνση Μεταφορών και Επικοινωνιών""",1,1,2
483486,"""Αίτηση εκτύπωσης άδειας οδήγησης""","""Εκτύπωση Εντύπου Άδειας Οδήγησης""",1,1,2
929009,"""Άδεια Επαγγελματικής Αλιείας Σκάφους.""","""Υποβολή αίτησης για τη σύμφωνη γνώμη από τη Διεύθυνση Αλιείας και Διαχείρισης Αλιευτικών Πόρων του Υπουργείου Αγροτικής Ανάπτυξης και Τροφίμων.""",1,1,2
230610,"""Πιστοποιητικό Αυτοματισμού του πλοίου (εφόσον διατίθεται)""","""Επεξεργασία - προετοιμασία σχεδίου απόφασης καθορισμού οργανικής σύνθεσης πλοίου σύμφωνα με τα άρθρα 87 παρ.2 και 90 του ΚΔΝΔ""",1,1,2
794246,"""Υφιστάμενη άδεια λειτουργίας.""","""Έγκριση Έκδοσης - Χορήγησης άδεια λειτουργίας""",1,1,2
574547,"""Δικαιολογητικά για την άρση οποιουδήποτε κωλύματος, εφόσον υπάρχει, αναφορικά με τη  δυνατότητα διαγραφής του οχήματος""","""Αποστολή απόφασης οριστικής διαγραφής του οχήματος στον αιτούντα και στην αρμόδια Δημόσια Οικονομική Υπηρεσία""",1,1,2
883825,"""Απάντηση της σιδηροδρομικής εταιρίας.""","""Αξιολόγηση απάντησης σιδηροδρομικής επιχείρησης""",1,1,2
181054,"""Ζυγολόγια οχήματος""","""Έλεγχος του οχήματος απο Διεύθυνση Μεταφορών και Επικοινωνιών""",1,1,2
554362,"""Ναυτικό Φυλλάδιο (σελίδες 4 και 5 με τα ατομικά στοιχεία ναυτικού)""","""Απόρριψη έφεσης από το Δευτεροβάθμιο Πειθαρχικό Συμβούλιο Εμπορικού Ναυτικού (Β΄ Π.Σ.Ε.Ν.)""",1,1,2
671862,"""Άδεια Επαγγελματικής Αλιείας Σκάφους.""","""Παραλαβή της αίτησης απο την αρμόδια Υπηρεσία Αλιείας της Περιφερειακής Ενότητας""",1,1,2
554362,"""Ναυτικό Φυλλάδιο (σελίδες 4 και 5 με τα ατομικά στοιχεία ναυτικού)""","""Έγκριση έφεσης από το Δευτεροβάθμιο Πειθαρχικό Συμβούλιο Εμπορικού Ναυτικού (Β΄ Π.Σ.Ε.Ν.)""",1,1,2
149250,"""Φωτογραφίες του κινητού μνημείου σε έντυπη και ηλεκτρονική μορφή.""","""Έγγραφο εκδήλωσης ενδιαφέροντος από Υπηρεσία, για την απόκτηση του κινητού μνημείου""",1,1,2
672043,"""Βιβλιάριο παρακολούθησης ανελκυστήρα (βιβλιάριο συντήρησης)""","""Έκδοση βεβαίωσης καταχώρισης / ανανέωσης καταχώρισης ανελκυστήρα""",1,1,2
186970,"""Έκθεση Κατάσχεσης τροφίμων""","""Συγκρότηση και ορισμός μελών πενταμελούς επιτροπής για τη δεύτερη επανεξέταση κατασχεθέντων τροφίμων""",1,1,2
343314,"""Πιστοποιητικό Βάπτισης""","""Καταχώριση της βάπτισης στη ληξιαρχική πράξη γέννησης""",1,1,2
