namesGroup1,namesGroup2,namesGroup3,frequency
"[""Δημοσίευση στο Μητρώο Αιτήσεων Αδειών""]","[""Αναμονή τυχόν υποβολής ενστάσεων""]","[""Αξιολόγηση τυχόν υποβληθέντων ενστάσεων και αξιολόγηση φακέλου""]",22
"[""Πρωτοκόλληση αίτησης από τον υπάλληλο (μέσω του ΟΠΣ του ΟΣΔΔΥΔΔ)""]","[""Πρωτοκόλληση της αίτησης και ανάθεση σε αρμόδιο υπάλληλο της Διεύθυνσης""]","[""Έλεγχος πληρότητας αίτησης και εξέτασή της""]",22
"[""Έκδοση διαταγής τοποθέτησης""]","[""Λήξη Διαδικασίας""]","[""Παραλαβή τυχόν ενδικοφανών προσφυγών""]",22
"[""Πρωτοκόλληση αίτησης και χορήγηση βεβαίωσης υποβολής αιτήματος""]","[""Διαβίβαση αίτησης""]","[""Υποβολή αίτησης""]",21
"[""Διαβίβαση αίτησης""]","[""Υποβολή αίτησης""]","[""Έλεγχος δικαιολογητικών""]",21
"[""Υποβολή αίτησης""]","[""Έλεγχος δικαιολογητικών""]","[""Υπογραφή βεβαίωσης""]",21
"[""Πρωτοκόλληση της αίτησης""]","[""Δρομολόγηση αίτησης""]","[""Έλεγχος έννομου συμφέροντος""]",21
"[""Εκκίνηση διαδικασίας""]","[""Υποβολή αίτησης""]","[""Ηλεκτρονική Υποβολή Αίτησης και Δικαιολογητικών""]",20
"[""Λήψη απόφασης""]","[""Έκδοση διαταγής τοποθέτησης""]","[""Λήξη Διαδικασίας""]",20
"[""Παραλαβή αίτησης του αιτούντος από το δικαστικό κατάστημα""]","[""Πρωτοκόλληση αίτησης από τον υπάλληλο (μέσω του ΟΠΣ του ΟΣΔΔΥΔΔ)""]","[""Πρωτοκόλληση της αίτησης και ανάθεση σε αρμόδιο υπάλληλο της Διεύθυνσης""]",20
"[""Πρωτοκόλληση Δικαιολογητικών""]","[""Διαβίβαση Αίτησης και Δικαιολογητικών""]","[""Σύνταξη Εισήγησης Επιλεγέντων""]",20
"[""Πρωτοκόλληση Δικαιολογητικών""]","[""Διαβίβαση Αίτησης και Δικαιολογητικών""]","[""Παραλαβή Δικαιολογητικών - Εντύπων - Γ’ Φάση""]",20
"[""Διαβίβαση Αίτησης και Δικαιολογητικών""]","[""Παραλαβή Δικαιολογητικών - Εντύπων - Γ’ Φάση""]","[""Ανακοίνωση Ημερομηνίας Εξετάσεων""]",20
"[""Παραλαβή Δικαιολογητικών - Εντύπων - Γ’ Φάση""]","[""Ανακοίνωση Ημερομηνίας Εξετάσεων""]","[""Διενέργεια Εξετάσεων""]",20
"[""Ανακοίνωση Ημερομηνίας Εξετάσεων""]","[""Διενέργεια Εξετάσεων""]","[""Ανακοίνωση Αποτελεσμάτων""]",20
"[""Συμπλήρωση Πληροφοριακών Συστημάτων""]","[""Προετοιμασία ειδικών Αδειών""]","[""Υπογραφή Άδειας""]",20
"[""Ηλεκτρονική Υποβολή Αίτησης και Δικαιολογητικών""]","[""Έλεγχος Δικαιολογητικών""]","[""Πρωτοκόλληση Δικαιολογητικών""]",19
"[""Λήξη Διαδικασίας""]","[""Παραλαβή τυχόν ενδικοφανών προσφυγών""]","[""Λήψη απόφασης επί τυχόν υποβληθεισών ενδικοφανών προσφυγών""]",19
"[""Παραλαβή Αίτησης -Υπεύθυνης Δήλωσης""]","[""Έλεγχος Δικαιολογητικών""]","[""Πρωτοκόλληση Δικαιολογητικών""]",19
"[""Διαβίβαση Αίτησης και Δικαιολογητικών""]","[""Σύνταξη Εισήγησης Επιλεγέντων""]","[""Σύνταξη εισήγησης και Διαβίβαση προς Υπογραφή""]",19
"[""Σύνταξη Εισήγησης Επιλεγέντων""]","[""Σύνταξη εισήγησης και Διαβίβαση προς Υπογραφή""]","[""Υπογραφή και διαβίβαση της εισήγησης - Γ’ Φάση""]",19
"[""Σύνταξη εισήγησης και Διαβίβαση προς Υπογραφή""]","[""Υπογραφή και διαβίβαση της εισήγησης - Γ’ Φάση""]","[""Σύνταξη Απόφασης""]",19
"[""Υπογραφή και διαβίβαση της εισήγησης - Γ’ Φάση""]","[""Σύνταξη Απόφασης""]","[""Διαβίβαση φακέλου""]",19
"[""Ανάθεση της αίτησης σε αρμόδιο υπάλληλο""]","[""Έλεγχος πληρότητας αίτησης και εξέτασή της""]","[""Έκδοση του πιστοποιητικού""]",19
"[""Πρωτοκόλληση αίτησης και χορήγηση βεβαίωσης υποβολής αιτήματος""]","[""Ανάθεση της αίτησης σε αρμόδιο υπάλληλο""]","[""Έλεγχος ορθότητας/πληρότητας αίτησης και δικαιολογητικών""]",17
"[""Δρομολόγηση αίτησης""]","[""Έλεγχος έννομου συμφέροντος""]","[""Έκδοση του πιστοποιητικού""]",16
"[""Παραλαβή αίτησης""]","[""Πρωτοκόλληση αίτησης και χορήγηση βεβαίωσης υποβολής αιτήματος""]","[""Ανάθεση της αίτησης σε αρμόδιο υπάλληλο""]",16
"[""Κατάθεση αίτησης και λοιπών δικαιολογητικών""]","[""Ηλεκτρονική Υποβολή Αίτησης και Δικαιολογητικών""]","[""Έλεγχος Δικαιολογητικών""]",16
"[""Κατάθεση αίτησης και πρωτοκόλλησή της""]","[""Έλεγχος τυπικών προϋποθέσεων και πληρότητας του φακέλου""]","[""Αποδοχή αιτήματος""]",16
"[""Δημοσίευση στο Μητρώο των Αιτήσεων Αδειών Εμπορίας""]","[""Αναμονή τυχόν υποβολής ενστάσεων""]","[""Αξιολόγηση τυχόν υποβληθέντων ενστάσεων και αξιολόγηση φακέλου""]",16
"[""Διενέργεια Εξετάσεων""]","[""Ανακοίνωση Αποτελεσμάτων""]","[""Σύνταξη απόφασης αποτελεσμάτων""]",15
"[""Ανακοίνωση Αποτελεσμάτων""]","[""Σύνταξη απόφασης αποτελεσμάτων""]","[""Συμπλήρωση Πληροφοριακών Συστημάτων""]",15
"[""Σύνταξη απόφασης αποτελεσμάτων""]","[""Συμπλήρωση Πληροφοριακών Συστημάτων""]","[""Προετοιμασία ειδικών Αδειών""]",15
"[""Υποβολή αίτησης""]","[""Πρωτοκόλληση της αίτησης""]","[""Δρομολόγηση αίτησης""]",15
"[""Πρωτοκόλληση αιτήματος""]","[""Χρέωση αιτήματος σε αρμόδιο υπάλληλο""]","[""Έλεγχος πληρότητας φακέλου""]",14
"[""Δημοσίευση Προκήρυξης για συμμετοχή σε εξετάσεις""]","[""Ηλεκτρονική Παραλαβή Αίτησης και Δικαιολογητικών""]","[""Παραλαβή Αίτησης -Υπεύθυνης Δήλωσης""]",14
"[""Σύνταξη πρακτικού θεωρητικών εξετάσεων""]","[""Διενέργεια εξετάσεων για το πρακτικό μέρος""]","[""Σύνταξη πρακτικού εξετάσεων και Βεβαίωσεων επιτυχίας""]",13
"[""Για την έγκριση συμμετοχής σε εξετάσεις: Επίδειξη αίτησης""]","[""Για την έγκριση συμμετοχής σε εξετάσεις: Επίδειξη αίτησης""]","[""Για την έγκριση συμμετοχής σε εξετάσεις: Επίδειξη αίτησης""]",13
"[""Ηλεκτρονική Παραλαβή Αίτησης και Δικαιολογητικών""]","[""Παραλαβή Αίτησης -Υπεύθυνης Δήλωσης""]","[""Έλεγχος Δικαιολογητικών""]",13
"[""Διαδικασία Χορήγησης Πρωτοκόλλου Εισερχομένων Εγγράφων""]","[""Έλεγχος της Αίτησης και της Πληρότητας των Δικαιολογητικών""]","[""Πληρότητα Δικαιολογητικών""]",13
"[""Έλεγχος της Αίτησης και της Πληρότητας των Δικαιολογητικών""]","[""Πληρότητα Δικαιολογητικών""]","[""Έλλειψη Δικαιολογητικών και Εκκρεμότητες""]",13
"[""Έλεγχος Δικαιολογητικών""]","[""Επεξεργασία""]","[""Εκκαθάριση""]",13
"[""Επεξεργασία""]","[""Εκκαθάριση""]","[""Εισήγηση για Έγκριση""]",12
"[""Εκκαθάριση""]","[""Εισήγηση για Έγκριση""]","[""Ενταλματοποίηση-Πληρωμή""]",12
"[""Προσέλευση σε ΚΕΠ""]","[""Φυσική ταυτοποίηση πολίτη στο ΚΕΠ""]","[""Έλεγχος τυπικών προϋποθέσεων και πληρότητας δικαιολογητικών""]",12
"[""Υποβολή δικαιολογητικών στην προϊστάμενη Διεύθυνση""]","[""Παραλαβή αιτήματος από την αρμόδια Διεύθυνση.""]","[""Εξέταση αιτήματος από αστυνομικό υπάλληλο.""]",12
"[""Παραλαβή αιτήματος από την αρμόδια Διεύθυνση.""]","[""Εξέταση αιτήματος από αστυνομικό υπάλληλο.""]","[""Έκδοση απόφασης""]",12
"[""Έλεγχος πληρότητας και ορθότητας""]","[""Πρωτοκόλληση Αίτησης""]","[""Παραλαβή Βεβαίωση Υποβολής Αιτήματος""]",12
"[""Εκκίνηση διαδικασίας""]","[""Παραλαβή αίτησης και δικαιολογητικών""]","[""Ηλεκτρονική Υποβολή Αίτησης και Δικαιολογητικών""]",12
"[""Έλεγχος τυπικών προϋποθέσεων και πληρότητας του φακέλου""]","[""Αποδοχή αιτήματος""]","[""Απόρριψη αιτήματος""]",12
"[""Αποστολή δικαιολογητικών""]","[""Έλεγχος λοιπών δικαιολογητικών.""]","[""Αποστολή δικαιολογητικών""]",11
"[""Εκκίνηση Διαδικασίας - Υποβολή δικαιολογητικών""]","[""Πρωτοκόλληση αιτήματος""]","[""Έλεγχος αίτησης""]",10
"[""Επεξεργασία αίτησης""]","[""Έλεγχος των νόμιμων προϋποθέσεων (διοικητικών και αναπηρίας)""]","[""Απόρριψη αίτησης""]",10
"[""Επεξεργασία της αίτησης από το αρμόδιο Τμήμα""]","[""Δημοσίευση στο Μητρώο των Αιτήσεων Αδειών Εμπορίας""]","[""Αναμονή τυχόν υποβολής ενστάσεων""]",10
"[""Παραλαβή αιτήματος και πρωτοκόλληση""]","[""Έλεγχος τυπικών προϋποθέσεων και πληρότητας του φακέλου""]","[""Διερεύνηση αιτήματος""]",10
"[""Παραλαβή αίτησης του αιτούντος από το δικαστικό κατάστημα""]","[""Πρωτοκόλληση αίτησης και ανάθεση σε υπάλληλο""]","[""Πρωτοκόλληση της αίτησης και ανάθεση σε αρμόδιο υπάλληλο της Διεύθυνσης""]",10
"[""Πρωτοκόλληση αίτησης και ανάθεση σε υπάλληλο""]","[""Πρωτοκόλληση της αίτησης και ανάθεση σε αρμόδιο υπάλληλο της Διεύθυνσης""]","[""Έλεγχος πληρότητας αίτησης και εξέτασή της""]",10
"[""Παραλαβή αίτησης / πρωτοκόλληση""]","[""Ανάθεση της αίτησης σε αρμόδιο υπάλληλο""]","[""Έλεγχος πληρότητας αίτησης και εξέτασή της""]",9
"[""Παραλαβή τυχόν ενδικοφανών προσφυγών""]","[""Παραλαβή τυχόν αίτησης θεραπείας""]","[""Λήψη απόφασης επί τυχόν υποβληθείσας ενδικοφανούς προσφυγής ή αίτησης θεραπείας""]",9
"[""Υποβολή αίτησης""]","[""Πρωτοκόλληση αίτησης και χορήγηση βεβαίωσης υποβολής αιτήματος""]","[""Διαβίβαση αίτησης""]",9
"[""Υποβολή Δήλωσης και Δικαιολογητικών""]","[""Ηλεκτρονική Υποβολή Δήλωσης και Δικαιολογητικών""]","[""Πρωτοκόλληση αίτησης και χορήγηση βεβαίωσης υποβολής αιτήματος""]",9
"[""Πρωτοκόλληση αιτήματος""]","[""Έλεγχος αίτησης""]","[""Υποβολή δικαιολογητικών στην προϊστάμενη Διεύθυνση""]",9
"[""Εκκίνηση διαδικασίας""]","[""Παραλαβή αίτησης""]","[""Ηλεκτρονική Υποβολή Αίτησης και Δικαιολογητικών""]",9
"[""Διενέργεια Δημοπρασίας""]","[""Συνεδρίαση Οικονομικής Επιτροπής""]","[""Άγονος Διαγωνισμός - Απόφαση Επανάληψης Δημοπρασίας""]",9
"[""Δημοσίευση διακήρυξης""]","[""Διενέργεια Δημοπρασίας""]","[""Συνεδρίαση Οικονομικής Επιτροπής""]",8
"[""Συνεδρίαση Οικονομικής Επιτροπής""]","[""Άγονος Διαγωνισμός - Απόφαση Επανάληψης Δημοπρασίας""]","[""Μη κατακύρωση - Απόφαση Επανάληψης Δημοπρασίας""]",8
"[""Έλεγχος αίτησης""]","[""Υποβολή δικαιολογητικών στην προϊστάμενη Διεύθυνση""]","[""Παραλαβή αιτήματος από την αρμόδια Διεύθυνση.""]",8
"[""Καταχώρηση της αίτησης στο ηλεκτρονικό πρωτόκολλο και χρέωση στο αρμόδιο Τμήμα""]","[""Έλεγχος της αίτησης και των δικαιολογητικών και σύνταξη σχετικής Απόφασης""]","[""Έκδοση Απόφασης.""]",8
"[""Χρέωση αιτήματος σε αρμόδιο υπάλληλο""]","[""Έλεγχος πληρότητας φακέλου""]","[""Δέσμευση παράβολου""]",8
"[""Παραλαβή αίτησης και δικαιολογητικών""]","[""Έλεγχος πληρότητας και ορθότητας""]","[""Πρωτοκόλληση Αίτησης""]",8
"[""Φυσική ταυτοποίηση πολίτη στο ΚΕΠ""]","[""Αίτηση στο Δήμο""]","[""Αίτηση στο ΚΕΠ""]",8
"[""Αίτηση στο Δήμο""]","[""Αίτηση στο ΚΕΠ""]","[""Καταχώριση στοιχείων πολίτη""]",8
"[""Αίτηση στο ΚΕΠ""]","[""Καταχώριση στοιχείων πολίτη""]","[""Εκτύπωση αίτησης πολίτη""]",8
"[""Καταχώριση στοιχείων πολίτη""]","[""Εκτύπωση αίτησης πολίτη""]","[""Εκτύπωση αίτησης πολίτη""]",8
"[""Εκτύπωση αίτησης πολίτη""]","[""Εκτύπωση αίτησης πολίτη""]","[""Τοπική αποθήκευση αίτησης""]",8
"[""Εκτύπωση αίτησης πολίτη""]","[""Τοπική αποθήκευση αίτησης""]","[""Διαβίβαση αίτησης πολίτη με ηλεκτρονικό ταχυδρομείο (email)""]",8
"[""Τοπική αποθήκευση αίτησης""]","[""Διαβίβαση αίτησης πολίτη με ηλεκτρονικό ταχυδρομείο (email)""]","[""Παραλαβή πιστοποιητικού από τον Δήμο""]",8
"[""Διαβίβαση αίτησης πολίτη με ηλεκτρονικό ταχυδρομείο (email)""]","[""Παραλαβή πιστοποιητικού από τον Δήμο""]","[""Αναζήτηση πολίτη στο πληροφοριακό σύστημα του Μητρώου Πολιτών""]",8
"[""Έλεγχος από τον Προϊστάμενο και φυσική υπογραφή""]","[""Έκδοση του πιστοποιητικού""]","[""Παράδοση πιστοποιητικού στον πολίτη από Δήμο ή αποστολή στο ΚΕΠ""]",8
"[""Διαβίβαση φακέλου""]","[""Χρέωση φακέλου""]","[""Έλεγχος δικαιολογητικών""]",8
"[""Χρέωση φακέλου""]","[""Έλεγχος δικαιολογητικών""]","[""Αναζήτηση ποινικού μητρώου ενδιαφερόμενου""]",8
"[""Κατάθεση Αιτήσεως και δικαιολογητικών""]","[""Έλεγχος δικαιολογητικών""]","[""Απόρριψη Αιτημάτων""]",8
"[""Έλεγχος δικαιολογητικών""]","[""Απόρριψη Αιτημάτων""]","[""Εξέταση δικαιολογητικών""]",8
"[""Έκδοση  Προκήρυξης.""]","[""Συγκρότηση εκλεκτορικών σωμάτων επιλογής και επιτροπής διαπίστωσης γνώσης αγγλικής γλώσσας και ναυτικής ορολογίας""]","[""Συγκέντρωση των αιτήσεων των υποψηφίων""]",8
"[""Συγκρότηση εκλεκτορικών σωμάτων επιλογής και επιτροπής διαπίστωσης γνώσης αγγλικής γλώσσας και ναυτικής ορολογίας""]","[""Συγκέντρωση των αιτήσεων των υποψηφίων""]","[""Παράδοση αιτήσεων υποψηφίων από τις Ακαδημίες στο αρμόδιο Τμήμα του Υπουργείου Ναυτιλίας και Νησιωτικής Πολιτικής""]",8
"[""Συγκέντρωση των αιτήσεων των υποψηφίων""]","[""Παράδοση αιτήσεων υποψηφίων από τις Ακαδημίες στο αρμόδιο Τμήμα του Υπουργείου Ναυτιλίας και Νησιωτικής Πολιτικής""]","[""Προώθηση των αιτήσεων των υποψηφίων από το Υπουργείο Ναυτιλίας προς τα εκλεκτορικά σώματα""]",8
"[""Παράδοση αιτήσεων υποψηφίων από τις Ακαδημίες στο αρμόδιο Τμήμα του Υπουργείου Ναυτιλίας και Νησιωτικής Πολιτικής""]","[""Προώθηση των αιτήσεων των υποψηφίων από το Υπουργείο Ναυτιλίας προς τα εκλεκτορικά σώματα""]","[""Συνεδρίαση εκλεκτορικών Σωμάτων για την αξιολόγηση των αιτήσεων""]",8
"[""Διαβίβαση πρακτικών με τα ονόματα των υποψηφίων στην επιτροπή διαπίστωσης  γνώσης αγγλικής γλώσσας και αγγλικής ναυτικής ορολογίας""]","[""Συγκρότηση εκλεκτορικών σωμάτων επιλογής και επιτροπής διαπίστωσης γνώσης αγγλικής γλώσσας και ναυτικής ορολογίας""]","[""Παράδοση των αποτελεσμάτων εξέτασης από την αρμόδια επιτροπή στο αρμόδιο τμήμα του Υπουργείου""]",8
"[""Παραλαβή πρακτικού ή βεβαίωσης πράξης του Κεντρικού Υπηρεσιακού Συμβουλίου Δευτεροβάθμιας Εκπαίδευσης""]","[""Κατάρτιση σχεδίου απόφασης μετάθεσης εκπαιδευτικών δευτεροβάθμιας εκπαίδευσης και υποβολή του προς υπογραφή ιεραρχικά""]","[""Έκδοση απόφασης""]",8
"[""Εξέταση ενστάσεων""]","[""Απόφαση επί της ένστασης""]","[""Έκδοση της άδειας""]",8
"[""Εκκίνηση διαδικασίας""]","[""Παραλαβή αίτησης""]","[""Πρωτοκόλληση της αίτησης""]",8
"[""Έλεγχος τυπικών προϋποθέσεων και πληρότητας του φακέλου""]","[""Διερεύνηση αιτήματος""]","[""Αποδοχή αιτήματος""]",8
"[""Εξαγωγή αναφοράς με τις αιτήσεις και τα δικαιολογητικά των εκπαιδευτικών και παραλαβή όσων στάλθηκαν ταχυδρομικά""]","[""Έλεγχος των αιτήσεων για τις οποίες πρέπει να αποφανθεί το Κεντρικό Υπηρεσιακό Συμβούλιο Πρωτοβάθμιας Εκπαίδευσης""]","[""Διαβίβαση των αιτήσεων μετάθεσης εκπαιδευτικών δευτεροβάθμιας εκπαίδευσης στο Κεντρικό Υπηρεσιακό Συμβούλιο Δευτεροβάθμιας Εκπαίδευσης""]",8
"[""Παραλαβή αιτήματος και χορήγηση αριθμού πρωτοκόλλου""]","[""Χρέωση σε αρμόδιο Τμήμα""]","[""Χρέωση σε υπάλληλο""]",7
"[""Υποβολή αίτησης""]","[""Ηλεκτρονική Υποβολή Αίτησης και Δικαιολογητικών""]","[""Πρωτοκόλληση της αίτησης""]",7
"[""Πρωτοκόλληση αίτησης και χορήγηση βεβαίωσης υποβολής αιτήματος""]","[""Διαβίβαση φακέλου""]","[""Χρέωση φακέλου""]",7
"[""Παραλαβή του έγγραφου αιτήματος δημόσιου φορέα και Πρωτοκόλληση""]","[""Ανάθεση της αίτησης σε αρμόδιο υπάλληλο""]","[""Έλεγχος πληρότητας αίτησης και εξέτασή της""]",7
"[""Φυσική ταυτοποίηση πολίτη στο ΚΕΠ""]","[""Έλεγχος τυπικών προϋποθέσεων και πληρότητας δικαιολογητικών""]","[""Είσοδος στην πλατφόρμα υποβολής αιτημάτων ΔΥΠΑ""]",7
"[""Εισαγωγή ΑΜΚΑ""]","[""Καταχώριση στοιχείων""]","[""Αποστολή δικαιολογητικών""]",7
"[""Έλεγχος από ΕΟΠΥΥ""]","[""Ανεπιτυχής έλεγχος""]","[""Έκδοση απορριπτικής απόφασης""]",7
"[""Ανεπιτυχής έλεγχος""]","[""Έκδοση απορριπτικής απόφασης""]","[""Ενημέρωση του αιτούντος φορέα""]",7
"[""Έκδοση απορριπτικής απόφασης""]","[""Ενημέρωση του αιτούντος φορέα""]","[""Επιτυχής έλεγχος""]",7
"[""Έλεγχος Δικαιολογητικών""]","[""Επεξεργασία""]","[""Σύνταξη Εισηγητικού Σημειώματος""]",7
"[""Επεξεργασία""]","[""Σύνταξη Εισηγητικού Σημειώματος""]","[""Εισήγηση για Έγκριση""]",7
"[""Εκκίνηση διαδικασίας""]","[""Παραλαβή αίτησης και δικαιολογητικών""]","[""Ηλεκτρονική Παραλαβή Αίτησης και Δικαιολογητικών""]",7
"[""Αναζήτηση πολίτη στο πληροφοριακό σύστημα του Μητρώου Πολιτών""]","[""Αποτυχία εύρεσης στο Μητρώο Πολιτών""]","[""Εύρεση στο Μητρώο Πολιτών""]",7
"[""Εκκίνηση διαδικασίας""]","[""Παραλαβή αίτησης μετάθεσης""]","[""Υποβολή προτάσεων μετάθεσης""]",7
"[""Παραλαβή αίτησης μετάθεσης""]","[""Υποβολή προτάσεων μετάθεσης""]","[""Μετάθεση με πρωτοβουλία της Υπηρεσίας""]",7
"[""Υποβολή προτάσεων μετάθεσης""]","[""Μετάθεση με πρωτοβουλία της Υπηρεσίας""]","[""Λήψη απόφασης""]",7
"[""Μετάθεση με πρωτοβουλία της Υπηρεσίας""]","[""Λήψη απόφασης""]","[""Έκδοση διαταγής τοποθέτησης""]",7
"[""Εξέταση αιτήματος από αστυνομικό υπάλληλο.""]","[""Έκδοση απόφασης""]","[""Διαβίβαση απόφασης στο αρμόδιο Τμήμα για επίδοση.""]",7
"[""Εκκίνηση διαδικασίας""]","[""Παραλαβή και έλεγχος της αίτησης και των λοιπών δικαιολογητικών.""]","[""Ηλεκτρονική Υποβολή Αίτησης και Δικαιολογητικών""]",7
"[""Πρωτοκόλληση των αιτήσεων""]","[""Προώθηση αιτήσεων στην Επιτροπή Ελέγχου και Αξιολόγησης""]","[""Έλεγχος πληρότητας και ορθότητας - αξιολόγηση αιτήσεων""]",7
"[""Προώθηση αιτήσεων στην Επιτροπή Ελέγχου και Αξιολόγησης""]","[""Έλεγχος πληρότητας και ορθότητας - αξιολόγηση αιτήσεων""]","[""Σύνταξη γνωμοδοτικού πρακτικού αποτελεσμάτων""]",7
"[""Έλεγχος πληρότητας και ορθότητας - αξιολόγηση αιτήσεων""]","[""Σύνταξη γνωμοδοτικού πρακτικού αποτελεσμάτων""]","[""Απόφαση αποτελεσμάτων της προκήρυξης""]",7
"[""Παραλαβή αίτησης""]","[""Πρωτοκόλληση της αίτησης""]","[""Διαβίβαση αίτησης""]",7
"[""Έλεγχος πληρότητας και ορθότητας""]","[""Ενέργειες σε περίπτωση ελλείψεων""]","[""1ο μέρος: Καταχώριση στοιχείων στο μητρώο""]",7
"[""Ενέργειες σε περίπτωση ελλείψεων""]","[""1ο μέρος: Καταχώριση στοιχείων στο μητρώο""]","[""Πρόσκληση συμμετοχής σε εξετάσεις""]",7
"[""1ο μέρος: Καταχώριση στοιχείων στο μητρώο""]","[""Πρόσκληση συμμετοχής σε εξετάσεις""]","[""1ο μέρος: Ενημέρωση ενδιαφερόμενου""]",7
"[""2ο μέρος: Θεωρητική εξέταση""]","[""Σύνταξη πρακτικού θεωρητικών εξετάσεων""]","[""Διενέργεια εξετάσεων για το πρακτικό μέρος""]",7
"[""Ηλεκτρονική Υποβολή Αίτησης και Δικαιολογητικών""]","[""Πρωτοκόλληση της αίτησης""]","[""Έλεγχος πληρότητας και ορθότητας""]",7
"[""Προώθηση των αιτήσεων των υποψηφίων από το Υπουργείο Ναυτιλίας προς τα εκλεκτορικά σώματα""]","[""Συνεδρίαση εκλεκτορικών Σωμάτων για την αξιολόγηση των αιτήσεων""]","[""Προώθηση πρακτικών με τα ονόματα των υποψηφίων από τα εκλεκτορικά σώματα στο αρμόδιο τμήμα του Υπουργείου.""]",7
"[""Συνεδρίαση εκλεκτορικών Σωμάτων για την αξιολόγηση των αιτήσεων""]","[""Προώθηση πρακτικών με τα ονόματα των υποψηφίων από τα εκλεκτορικά σώματα στο αρμόδιο τμήμα του Υπουργείου.""]","[""Διαβίβαση πρακτικών με τα ονόματα των υποψηφίων στην επιτροπή διαπίστωσης  γνώσης αγγλικής γλώσσας και αγγλικής ναυτικής ορολογίας""]",7
"[""Προώθηση πρακτικών με τα ονόματα των υποψηφίων από τα εκλεκτορικά σώματα στο αρμόδιο τμήμα του Υπουργείου.""]","[""Διαβίβαση πρακτικών με τα ονόματα των υποψηφίων στην επιτροπή διαπίστωσης  γνώσης αγγλικής γλώσσας και αγγλικής ναυτικής ορολογίας""]","[""Συγκρότηση εκλεκτορικών σωμάτων επιλογής και επιτροπής διαπίστωσης γνώσης αγγλικής γλώσσας και ναυτικής ορολογίας""]",7
"[""Συγκρότηση εκλεκτορικών σωμάτων επιλογής και επιτροπής διαπίστωσης γνώσης αγγλικής γλώσσας και ναυτικής ορολογίας""]","[""Παράδοση των αποτελεσμάτων εξέτασης από την αρμόδια επιτροπή στο αρμόδιο τμήμα του Υπουργείου""]","[""Διαβίβαση αποτελεσμάτων των εξετάσεων στα εκλεκτορικά σώματα""]",7
"[""Παράδοση των αποτελεσμάτων εξέτασης από την αρμόδια επιτροπή στο αρμόδιο τμήμα του Υπουργείου""]","[""Διαβίβαση αποτελεσμάτων των εξετάσεων στα εκλεκτορικά σώματα""]","[""Συνεδρίαση Εκλεκτορικών Σωμάτων για έκδοση οριστικών αποτελεσμάτων""]",7
"[""Διαβίβαση αποτελεσμάτων των εξετάσεων στα εκλεκτορικά σώματα""]","[""Συνεδρίαση Εκλεκτορικών Σωμάτων για έκδοση οριστικών αποτελεσμάτων""]","[""Παράδοση των πρακτικών από τα εκλεκτορικά σώματα στο αρμόδιο τμήμα της ΔΔΥ για έλεγχο νομιμότητας και έκδοση αποφάσεων πρόσληψης""]",7
